dataset,algorithm,utility_func,l,n,m,k,gamma,epsilon,delta,epsilon_0,delta_0,sigma,radius,select_method,noise,e0_ratio,cutoff,number of runs,result,variance,time,max_result,min_result,comm_cost
foursquare,FDP_Lazy,FL,16,100000,1132,10,0.01,2,3.16E-08,0.44197085,4.60E-10,1.770968154,956.9665572,,laplace,,256,10,56291.7772,1523360.893,23.00458722,58433.3992,54231.59517,1215434.5
foursquare,FDP_Lazy,FL,64,100000,1132,10,0.01,2,3.16E-08,0.44197085,4.60E-10,1.770968154,956.9665572,,laplace,,256,10,54757.03826,748742.3535,19.61185212,55749.73123,53004.38824,4642370.1
foursquare,FDP_Lazy,FL,256,100000,1132,10,0.01,2,3.16E-08,0.44197085,4.60E-10,1.770968154,956.9665572,,laplace,,256,10,50385.53434,2588699.327,14.76720317,52739.99123,47999.09616,17495812.6
foursquare,FDP_Lazy,FL,1024,100000,1132,10,0.01,2,3.16E-08,0.44197085,4.60E-10,1.770968154,956.9665572,,laplace,,256,10,48003.43922,12318639.1,13.89045173,54462.91442,41958.77997,66748595.4
foursquare,FDP_PF,FL,1,100000,1132,10,0.01,2,3.16E-08,2.443832176,1.58E-07,,956.9665572,,,0.8,2,10,58155.88654,203505.7346,25.93685651,58849.53471,57079.80859,36443.9
foursquare,FDP_PF,FL,4,100000,1132,10,0.01,2,3.16E-08,2.443832176,1.58E-07,,956.9665572,,,0.8,2,10,58248.85905,646973.8213,26.03409282,59841.60875,57345.54889,145760.8
foursquare,FDP_PF,FL,16,100000,1132,10,0.01,2,3.16E-08,2.443832176,1.58E-07,,956.9665572,,,0.8,2,10,57099.60411,387190.3969,26.44024528,58320.82414,55798.69036,583201.9
foursquare,FDP_PF,FL,64,100000,1132,10,0.01,2,3.16E-08,2.443832176,1.58E-07,,956.9665572,,,0.8,2,10,54485.9991,3370059.881,27.42460007,57104.05105,50900.23778,2333474.8
foursquare,FDP_PF,FL,256,100000,1132,10,0.01,2,3.16E-08,2.443832176,1.58E-07,,956.9665572,,,0.8,2,10,49414.91439,7303764.947,29.51984732,54519.33508,43981.12045,9335033.5
foursquare,FDP_PF,FL,1024,100000,1132,10,0.01,2,3.16E-08,2.443832176,1.58E-07,,956.9665572,,,0.8,2,10,46642.85993,15414865.18,38.57158023,52532.81652,39511.89958,37337963.2
uber,CDP,FL,1,564516,1000,10,0.01,2,2.36E-09,3.141574641,2.36E-08,,1256.426663,permutation,,,,10,460660.5691,3831296.397,89.87175377,462985.5733,457997.406,289796.5
uber,CDP,FL,4,564516,1000,10,0.01,2,2.36E-09,3.141574641,2.36E-08,,1256.426663,permutation,,,,10,461005.32,1764373.114,93.33972339,462977.3364,458829.4946,1146616.3
uber,CDP,FL,16,564516,1000,10,0.01,2,2.36E-09,3.141574641,2.36E-08,,1256.426663,permutation,,,,10,461782.6711,883145.8617,95.25560161,463198.3251,460691.0256,4402190.1
uber,CDP,FL,64,564516,1000,10,0.01,2,2.36E-09,3.141574641,2.36E-08,,1256.426663,permutation,,,,10,460780.3551,2926671.818,94.27842185,462741.6022,457387.2734,16263255.2
uber,CDP,FL,256,564516,1000,10,0.01,2,2.36E-09,3.141574641,2.36E-08,,1256.426663,permutation,,,,10,461108.2528,1317758.058,94.85279311,463442.0903,460026.33,56432733.3
uber,CDP,FL,1024,564516,1000,10,0.01,2,2.36E-09,3.141574641,2.36E-08,,1256.426663,permutation,,,,10,461420.7375,2495606.332,98.77252152,462977.3364,458070.4942,181891293.6
uber,FDP,FL,1,564516,1000,10,0.01,2,2.36E-09,0.266301092,1.18E-11,3.229055409,1256.426663,,laplace,,,10,460120.0304,1894525.189,89.8116466,462274.3282,457714.7072,287755.6
uber,FDP,FL,4,564516,1000,10,0.01,2,2.36E-09,0.266301092,1.18E-11,3.229055409,1256.426663,,laplace,,,10,458125.8568,5345344.996,92.17987971,461794.195,453149.7702,1156500.5
uber,FDP,FL,16,564516,1000,10,0.01,2,2.36E-09,0.266301092,1.18E-11,3.229055409,1256.426663,,laplace,,,10,455969.4931,11265910.15,93.1438374,461717.3451,450735.8187,4646576.4
uber,FDP,FL,64,564516,1000,10,0.01,2,2.36E-09,0.266301092,1.18E-11,3.229055409,1256.426663,,laplace,,,10,451882.0562,28062557.79,94.59593321,460385.3005,444049.7746,18670942.1
uber,FDP,FL,256,564516,1000,10,0.01,2,2.36E-09,0.266301092,1.18E-11,3.229055409,1256.426663,,laplace,,,10,441902.8028,54932173.56,97.21584451,453253.5987,428124.2933,74859968.8
uber,FDP,FL,1024,564516,1000,10,0.01,2,2.36E-09,0.266301092,1.18E-11,3.229055409,1256.426663,,laplace,,,10,427017.8413,65390484.6,109.5193167,435897.5498,407509.4314,299776488.2
uber,FDP_Lazy,FL,1,564516,1000,10,0.01,2,2.36E-09,0.426206447,3.57E-11,1.856074981,1256.426663,,laplace,,256,10,459899.3862,2459620.18,107.5922045,461671.8733,455838.1219,82644.1
uber,FDP_Lazy,FL,4,564516,1000,10,0.01,2,2.36E-09,0.426206447,3.57E-11,1.856074981,1256.426663,,laplace,,256,10,461104.6513,3121828.09,165.8884082,462867.7063,458262.1525,331241
uber,FDP_Lazy,FL,16,564516,1000,10,0.01,2,2.36E-09,0.426206447,3.57E-11,1.856074981,1256.426663,,laplace,,256,10,458022.1899,11841997.48,176.5982421,463445.7933,452853.2344,1318521.4
uber,FDP_Lazy,FL,64,564516,1000,10,0.01,2,2.36E-09,0.426206447,3.57E-11,1.856074981,1256.426663,,laplace,,256,10,454232.8618,4132941.232,173.9986737,457401.4798,451036.3032,5259440
uber,FDP_Lazy,FL,256,564516,1000,10,0.01,2,2.36E-09,0.426206447,3.57E-11,1.856074981,1256.426663,,laplace,,256,10,442047.3382,20726936.81,164.411578,453214.4939,436826.8445,20606325.7
uber,FDP_Lazy,FL,1024,564516,1000,10,0.01,2,2.36E-09,0.426206447,3.57E-11,1.856074981,1256.426663,,laplace,,256,10,434423.8905,56840315.22,146.6434279,441233.3386,413659.3998,80449233.3
uber,FDP_PF,FL,1,564516,1000,10,0.01,2,2.36E-09,2.443832176,1.18E-08,,1256.426663,,,0.8,2,10,461151.3648,2379599.525,171.6814832,463702.1961,458711.8687,43323.1
uber,FDP_PF,FL,4,564516,1000,10,0.01,2,2.36E-09,2.443832176,1.18E-08,,1256.426663,,,0.8,2,10,460575.5556,5360606.848,173.0574014,462918.8739,455967.2886,173279.7
uber,FDP_PF,FL,16,564516,1000,10,0.01,2,2.36E-09,2.443832176,1.18E-08,,1256.426663,,,0.8,2,10,458725.847,3033045.277,173.043732,461659.5481,455875.8388,693119.7
uber,FDP_PF,FL,64,564516,1000,10,0.01,2,2.36E-09,2.443832176,1.18E-08,,1256.426663,,,0.8,2,10,452876.8273,19890497.7,173.3377965,457797.4239,443888.1082,2773137.5
uber,FDP_PF,FL,256,564516,1000,10,0.01,2,2.36E-09,2.443832176,1.18E-08,,1256.426663,,,0.8,2,10,436361.1235,73609945.68,176.2879264,445628.3528,421540.8457,11094933.9
uber,FDP_PF,FL,1024,564516,1000,10,0.01,2,2.36E-09,2.443832176,1.18E-08,,1256.426663,,,0.8,2,10,413533.6193,79794966.97,183.7622334,426889.9638,399898.3887,44382886.4
